Rank,Username,Owner,"Brand
account",Followers(millions)[2],Profession/Activity,Country/Continent
1,@instagram,Instagram,+,583,Social media platform, United States
2,@cristiano,Cristiano Ronaldo,-,525,Footballer, Portugal
3,@leomessi,Lionel Messi,-,411,Footballer, Argentina
4,@kyliejenner,Kylie Jenner,-,376,"Television personality, model and businesswoman", United States
5,@selenagomez,Selena Gomez,-,366,"Musician, actress, and businesswoman", United States
6,@therock,Dwayne Johnson,-,355,Actor and professional wrestler, United States
7,@arianagrande,Ariana Grande,-,346,"Musician, actress and businesswoman", United States
8,@kimkardashian,Kim Kardashian,-,337,"Television personality, model and businesswoman", United States
9,@beyonce,Beyoncé,-,288,"Musician, actress and businesswoman", United States
10,@khloekardashian,Khloé Kardashian,-,285,Television personality and model, United States
11,@justinbieber,Justin Bieber,-,271,Musician, Canada
12,@kendalljenner,Kendall Jenner,-,268,Model and television personality, United States
13,@nike,Nike,+,259,Sportswear multinational, United States
14,@natgeo,National Geographic,+,252,Magazine, United States
15,@taylorswift,Taylor Swift,-,237,Musician and actress, United States
16,@jlo,Jennifer Lopez,-,230,Musician and actress, United States
17,@virat.kohli,Virat Kohli,-,229,Cricketer, India
18,@nickiminaj,Nicki Minaj,-,207,Musician, Trinidad and Tobago United States
19,@kourtneykardash,Kourtney Kardashian,-,206,Television personality and model, United States
20,@neymarjr,Neymar,-,198,Footballer, Brazil
21,@mileycyrus,Miley Cyrus,-,191,Musician and actress, United States
22,@katyperry,Katy Perry,-,184,Musician, United States
23,@zendaya,Zendaya,-,162,Actress and singer, United States
24,@kevinhart4real,Kevin Hart,-,161,Comedian and actor, United States
25,@iamcardib,Cardi B,-,146,Musician and actress, United States
26,@ddlovato,Demi Lovato,-,145,Musician and actress, United States
27,@kingjames,LeBron James,-,140,Basketball player, United States
28,@badgalriri,Rihanna,-,139,Musician and businesswoman, Barbados
29,@realmadrid,Real Madrid CF,+,129,Football club, Spain
30,@theellenshow,Ellen DeGeneres,-,129,Comedian and television personality, United States
31,@champagnepapi,Drake,-,128,Musician, Canada
32,@chrisbrownofficial,Chris Brown,-,127,Musician, United States
33,@fcbarcelona,FC Barcelona,+,115,Football club, Spain
34,@billieeilish,Billie Eilish,_,107,Musician, United States
35,@championsleague,UEFA Champions League,+,101,Club football competition, Europe
36,@gal_gadot,Gal Gadot,-,92.6,Actress, Israel
37,@k.mbappe,Kylian Mbappé,-,91.8,Footballer, France
38,@dualipa,Dua Lipa,-,87.5,Musician, United Kingdom Albania
39,@nasa,NASA,+,86.0,Space agency, United States
40,@lalalalisa_m,Lisa,-,85.7,Musician, Thailand
41,@vindiesel,Vin Diesel,-,85.2,Actor, United States
42,@priyankachopra,Priyanka Chopra,-,84.1,Actress and musician, India
43,@khaby00,Khaby Lame,-,80.2,Social media personality, Italy Senegal
44,@snoopdogg,Snoop Dogg,-,78.5,Musician, United States
45,@shakira,Shakira,-,77.9,Musician, Colombia
46,@shraddhakapoor,Shraddha Kapoor,-,76.9,Actress, India
47,@davidbeckham,David Beckham,-,76.6,Former FootballerPresident of Inter Miami, United Kingdom
48,@gigihadid,Gigi Hadid,-,76.4,Model, United States
49,@victoriassecret,Victoria's Secret,+,73.8,Lingerie company, United States
50,@aliaabhatt,Alia Bhatt,-,73.6,Actress and musician, United Kingdom India
